scenario,t,qber_mean,qber_q05,qber_q50,qber_q95,margin_mean,margin_q05,margin_q50,margin_q95,psi_mean,psi_q05,psi_q50,psi_q95,p_secure,p_transition,p_insecure
transition_margin,100.0,0.10042735937990993,0.09598303131873887,0.10045040326804232,0.10538389022729654,0.012581711794792822,-0.018526339631778143,0.012296876829305189,0.04087830627374107,0.11437919813448022,-0.16842126937980129,0.1117897893573199,0.37162096612491885,0.7266666666666667,0.06,0.21333333333333335
transition_margin,101.0,0.10068293704828743,0.09536503613700639,0.10039803079501414,0.10615900282811352,0.010984133503296486,-0.023296599329243908,0.01262824332256823,0.04488335265910663,0.09985575912087714,-0.21178726662949007,0.11480221202334755,0.4080304787191512,0.7066666666666667,0.08666666666666667,0.20666666666666667
transition_margin,102.0,0.10093572151810343,0.09636535037184456,0.10118361789043678,0.10537341573269089,0.009370750410975877,-0.018461863672860016,0.007667537432770651,0.038406341871786875,0.08518864009978072,-0.1678351242987274,0.06970488575246046,0.3491485624707898,0.62,0.09333333333333334,0.2866666666666667
transition_margin,103.0,0.10093991131594567,0.09625013093118256,0.1007122656331832,0.10587095422645856,0.009348674944967618,-0.021527629142017904,0.010641620098252032,0.03915086447794147,0.08498795404516016,-0.19570571947289003,0.0967420008932003,0.3559169497994679,0.6666666666666666,0.06666666666666667,0.26666666666666666
transition_margin,104.0,0.10176320659194861,0.09630774065151357,0.10170734262071855,0.1075730595998743,0.004211520593193204,-0.03196347737919508,0.004371315547302575,0.03877850310307649,0.03828655084721095,-0.29057706708359166,0.039739232248205233,0.35253184639160445,0.5466666666666666,0.06,0.3933333333333333
transition_margin,105.0,0.10231486330784541,0.09735519011207709,0.10233581229705667,0.10690792919241647,0.0007080167391767639,-0.027895936604175185,0.0004272802889049819,0.032029881437199675,0.006436515810697853,-0.25359942367431987,0.0038843662627725626,0.29118074033817887,0.44666666666666666,0.11333333333333333,0.44
transition_margin,106.0,0.10276596487552808,0.09798365978841521,0.10296428197339479,0.1075730595998743,-0.002135050785429022,-0.03196347737919508,-0.003504348903016378,0.02799802243227502,-0.01940955259480929,-0.29057706708359166,-0.03185771730014889,0.2545274766570456,0.41333333333333333,0.06666666666666667,0.52
transition_margin,107.0,0.10248175692189519,0.09807793023986593,0.10254530218916938,0.10740546768618413,-0.0003552704158571358,-0.030937318333902727,-0.0008846378968540604,0.027394711800720364,-0.003229731053246689,-0.2812483484900248,-0.008042162698673276,0.2490428345520033,0.4266666666666667,0.1,0.47333333333333333
transition_margin,108.0,0.1025271463985196,0.09709856499423902,0.10259767466219755,0.10806012359903634,-0.0005873080556963239,-0.03493299627294738,-0.001212359374907438,0.03367990392167436,-0.005339164142693851,-0.31757269339043076,-0.01102144886279489,0.3061809447424942,0.44666666666666666,0.08,0.47333333333333333
transition_margin,109.0,0.1031674871687441,0.0977741698963025,0.10343563423064836,0.10806012359903634,-0.0046241899392415724,-0.03493299627294738,-0.006444927032743967,0.029340539055830974,-0.042038090356741574,-0.31757269339043076,-0.058590245752217884,0.26673217323482706,0.36666666666666664,0.07333333333333333,0.56
transition_margin,110.0,0.10314304668133097,0.09792605006808422,0.10296428197339479,0.10794490415837436,-0.004472847379642097,-0.034231410400997156,-0.003504348903016378,0.028367204597817476,-0.040662248905837244,-0.3111946400090651,-0.03185771730014889,0.25788367816197705,0.3333333333333333,0.11333333333333333,0.5533333333333333
transition_margin,111.0,0.10405362941238085,0.09876400963653503,0.10411647638001466,0.10956321357494501,-0.01013013849408224,-0.04405383662826651,-0.010680336507923275,0.023009866732962465,-0.09209216812802037,-0.40048942389333186,-0.09709396825384796,0.20918060666329516,0.26,0.06,0.68
transition_margin,112.0,0.10396983345553577,0.09924059914109144,0.10354037917670472,0.1091442337907196,-0.009625882712959274,-0.04151829575039928,-0.007097458622512768,0.019972914980101293,-0.08750802466326613,-0.3774390522763571,-0.06452235111375244,0.18157195436455723,0.26666666666666666,0.12,0.6133333333333333
