replicate,mean_boundary,w_a,w_d,r_a,r_d,kappa,w_M
73,0.06353992328391692,0.057714674672068075,0.9490419761042342,0.19670991159178958,1.1356749561611963,2.707082353191251,1.4660115819336448
74,0.06742894900436514,0.05212519637230886,0.8414072020890931,0.16272214216494787,1.1439735197118204,2.3509052544154843,1.3570407677588614
75,0.06539603504783395,0.05822496533205976,0.8517379841540128,0.1816463532165254,1.102499996831234,2.729433561982152,1.3037839719694966
76,0.06386067326517259,0.05713186891599595,0.938573181411745,0.17877102331487676,1.0117104164174162,2.8021136765253782,1.4034349575795544
77,0.06598367450080066,0.05193716682243542,0.9257217475253359,0.16840356583281996,1.1269423535410732,2.47067973187057,1.3254553625899803
78,0.0660322350444382,0.05279134339452723,0.8943372124869754,0.17084695682147188,1.1760196283922961,2.439668380331296,1.4486217483794155
79,0.06483576583504172,0.05930599763583647,0.8850313145444587,0.1732102693862613,1.0400895559625158,2.5792227069848246,1.3152435491201269
80,0.06510117847658062,0.053457033355679376,0.9339455393643501,0.17589749333263127,1.0255595538845717,2.779654605755529,1.286547554562224
81,0.06565345775573837,0.05113814434072798,0.9457738351346635,0.18016175447943517,1.0168225071164094,2.557687794215445,1.340589141744444
82,0.06311687791711523,0.05756673327193848,0.9871126015597953,0.16858119903145236,1.0339315376703189,2.754510067843384,1.3800817222054014
83,0.06323270458014055,0.05926437548367409,0.9414323045534502,0.17943943319854233,1.1630209087809753,2.78357281202605,1.45242185340375
84,0.06461757208997244,0.05650990903224815,0.9067349055029185,0.16575118401550154,1.0706231122819303,2.853816745593073,1.3336304004922876
85,0.06426069382366657,0.057197769650365216,0.9318139845825137,0.1683321896594894,1.2047620129860435,2.75021827673108,1.317132182264149
86,0.06296216536862836,0.060004993239569156,0.9415095619457176,0.1676223381839808,1.1677116502636131,2.804845139722749,1.4813657118874743
87,0.0640683870410539,0.0595787416611469,0.9170234663122765,0.1895115648520667,1.0468625784236913,2.5699347617708908,1.3901481922383159
88,0.06441180460178206,0.06014833654829443,0.9040452829254075,0.1751691447435126,1.141843418891313,2.6279772315148886,1.2534194324704349
89,0.06488084057675342,0.05244535319610592,0.980455137733532,0.172374975054194,1.0462788950192903,2.3868691008193617,1.4177741409736395
90,0.06534513318380311,0.050883134156142235,0.9598761988352016,0.1959385835957547,1.192902017947921,2.4346475509336307,1.4666149933017394
91,0.0667488950060485,0.05116333244272954,0.8780493154071854,0.19378835330762864,0.9910575811987957,2.3951131975593647,1.4418439366232751
92,0.06572534515207325,0.05186904774086373,0.9091813543493918,0.1700750316109584,1.0571441565428086,2.5532002637206883,1.484223677327284
93,0.06385153076956764,0.0596923907655516,0.975362205544766,0.17512610690611527,1.024440157382077,2.3553356296482715,1.2366595218373146
94,0.06344156040074048,0.06021967341762584,0.9629672611363205,0.16877170564192445,1.1460294283300754,2.5532490075530268,1.30101108904572
95,0.06536121804696207,0.053644451757759545,0.8933281541620416,0.17981296614450393,1.0332474395524593,2.7241848888639586,1.460212687188433
96,0.06591695119495769,0.05478865177413145,0.8783176273414643,0.16231968581907374,1.1627993952487765,2.740574302866637,1.2300995541477695
97,0.0666717650008983,0.055024287628611265,0.8514480540635303,0.18155095115481074,1.1587896664615356,2.3878620243165276,1.307334433432557
98,0.0649837938841545,0.052420047032882146,0.9542569246332524,0.1971365538327513,0.9980672349555537,2.6295762405589507,1.38623354913227
99,0.06556825079980846,0.054736556868556566,0.902260353355124,0.1964348561647012,1.1522579168353428,2.5722340177662657,1.3195793318177025
100,0.06713926704088921,0.05046770318317281,0.8823329489654801,0.16933562936595747,1.1334722248994917,2.406392503365621,1.3198296651862587
101,0.0641039365508424,0.05985728288140077,0.9407774874690479,0.1655550183511057,1.0273578874582974,2.4620029149597986,1.2759950272826968
102,0.0655907301835209,0.058602602521987276,0.8180085806989486,0.1656021277009462,1.084189894830549,2.6202014885275835,1.4814389499849596
103,0.06592865513902241,0.055681781321631575,0.860437464177432,0.16760828924378693,0.9939667514970855,2.784570817962492,1.2337651099353413
104,0.0667323271210577,0.05019740322031457,0.8769840439271517,0.16455272525009312,1.003111256281672,2.625827775598749,1.397828991391535
105,0.06578637240054683,0.054138903008039405,0.8697947775465493,0.17490021388173865,1.13939389654376,2.6792545476516714,1.4282816145708122
106,0.0642154306700363,0.0588142666191216,0.8949106019564759,0.165486388325523,1.2024767345330667,2.6741441234663923,1.4757566296429787
107,0.06495645719606444,0.05122298904141323,0.9528371352285042,0.17807706494159062,1.005943932375385,2.842000621594648,1.3789827524269984
108,0.06429386075035715,0.0592106224589171,0.9089449652220409,0.19576452349968843,1.0981955536876828,2.6085970934694482,1.359002685264905
109,0.06657398525658549,0.05069906662041947,0.8633809224574827,0.1631820100093098,1.1998905214221154,2.681940759167072,1.4631102795374245
110,0.0669787471357336,0.05257153930279774,0.8599663080345874,0.1867879146406349,1.0801545221153113,2.377881807304384,1.3550030167802323
111,0.06495078827245204,0.05406155461632941,0.933650168768049,0.16252212437664873,0.9957703675994578,2.713178836507126,1.3395688785893165
112,0.06323798978702388,0.05820121980984569,0.9683062503559879,0.1907077735544977,1.1510299352391,2.670598226708716,1.4434955400249645
113,0.06548869018611886,0.05252526831155051,0.9263496398873364,0.19307054765126871,1.0255944144832208,2.545480235285221,1.4112129898018022
114,0.0652816194220125,0.059247429246224795,0.8417639605610773,0.18133665388591536,1.0701299434132918,2.5214649907318556,1.4550906864723268
