t,eta,attack,drift,shots,n_eff,qber_mean,qber_obs,secrecy_margin,leakage_burden,psi,dpsi_dt,dqber_dt,phase,scenario,repeat
82.0,0.075,0.16,0.015,10000,9547,0.0987094835566654,0.10505918089452183,-0.016521035366160067,0.1962943856708914,-0.15019123060145514,-0.04525834229171673,0.0007855870954226463,insecure,transition_margin,65
83.0,0.075,0.16,0.015,10000,9547,0.09867330735698317,0.10086938305226772,0.009649445078955095,0.19315203728920083,0.08772222799050086,0.014733871828657347,-0.00026186236514087746,secure,transition_margin,65
84.0,0.075,0.16,0.015,10000,9547,0.09865248443164085,0.10453545616424008,-0.01327958356385545,0.1959015921231801,-0.12072348694414045,0.012033780683409517,-0.00020948989211270336,insecure,transition_margin,65
85.0,0.075,0.16,0.015,10000,9547,0.09864730218512273,0.10045040326804232,0.012296876829305189,0.19283780245103177,0.1117897893573199,0.19204883264501932,-0.0033518382738032884,secure,transition_margin,65
86.0,0.075,0.16,0.015,10000,9547,0.09865800515189968,0.0978317796166335,0.0289711596180488,0.19087383471247515,0.26337417834589816,-0.039017113165090204,0.0006808421493662911,secure,transition_margin,65
87.0,0.075,0.16,0.015,10000,9547,0.09868479432617706,0.1018120875667749,0.0037131119329853433,0.1938590656750812,0.03375556302713949,-0.08481991356303392,0.0014664292447889374,secure,transition_margin,65
88.0,0.075,0.16,0.015,10000,9547,0.09872782661098364,0.10076463810621138,0.010310778634181336,0.19307347857965856,0.09373435121983033,-0.08018936836346369,0.0014140567717607633,secure,transition_margin,65
89.0,0.075,0.16,0.015,10000,9547,0.09878721438811121,0.10464020111029643,-0.013928549106976666,0.19598015083272236,-0.12662317369978787,0.12156063613029428,-0.0020948989211270544,insecure,transition_margin,65
90.0,0.075,0.16,0.015,10000,9547,0.09886302521008403,0.09657484026395727,0.037054118582846074,0.18993113019796798,0.33685562348041886,0.18280407347955077,-0.003194720854718759,secure,transition_margin,65
91.0,0.075,0.16,0.015,10000,9547,0.09895528161500196,0.09825075940085891,0.026288347058524505,0.1911880695506442,0.23898497325931367,-0.16051609846943357,0.0027757410704933455,secure,transition_margin,65
92.0,0.075,0.16,0.015,10000,9547,0.09906396106476514,0.10212632240494396,0.0017405769195706876,0.194094741803708,0.015823426541551704,0.14807933415021246,-0.002513878705352468,transition,transition_margin,65
93.0,0.075,0.16,0.015,10000,9547,0.09918899600684934,0.09322300199015397,0.058865800571571245,0.1874172514926155,0.5351436415597386,0.05400962068670437,-0.0009427045145071755,secure,transition_margin,65
