eta,attack,drift,shots,n_repeats,n_eff,qber_mean_det,qber_obs_mean,qber_obs_sd,qber_obs_ci_low,qber_obs_ci_med,qber_obs_ci_high,margin_mean,margin_sd,margin_ci_low,margin_ci_med,margin_ci_high,psi_mean,psi_sd,psi_ci_low,psi_ci_med,psi_ci_high,mean_leakage,p_secure,p_transition,p_insecure,dominant_phase
0.060000000000000005,0.05,0.005,10000,250,9855,0.07693598426254233,0.07690674784373414,0.0025490949728565345,0.07176306443429731,0.07701674277016743,0.08196600710299341,0.18482079176269933,0.01826585805519076,0.14892158827617225,0.18390089880569807,0.22212169833024464,1.6801890160245396,0.16605325504718874,1.353832620692475,1.6718263527790733,2.019288166638588,0.0946800608828006,1.0,0.0,0.0,secure
0.0625,0.05,0.005,10000,250,9855,0.07943598426254234,0.07958072044647388,0.002659711244627339,0.07452562151192288,0.0795535261288686,0.08462709284627093,0.16579820978721665,0.018807668792508326,0.1305058436305088,0.16585131532699784,0.20187993670115567,1.5072564526110606,0.17097880720462116,1.1864167602773528,1.5077392302454349,1.8352721518286879,0.09668554033485541,1.0,0.0,0.0,secure
0.065,0.05,0.005,10000,250,9855,0.08193598426254234,0.08189020801623542,0.002877315284153573,0.07592338914256723,0.08188736681887367,0.08714104515474379,0.14960833717188235,0.020068999747271207,0.11335083786104937,0.14946986599815662,0.1917604074720597,1.3600757924716578,0.18244545224792008,1.030462162373176,1.3588169636196057,1.743276431564179,0.09841765601217657,1.0,0.0,0.0,secure
0.0675,0.05,0.005,10000,250,9855,0.08443598426254234,0.08429751395230847,0.002714598590590411,0.07939624556062912,0.08422120750887874,0.08998224251648909,0.13290933671408234,0.018679320070775007,0.09423837236965328,0.13329748493331686,0.16696308033282833,1.2082666974007485,0.16981200064340912,0.8567124760877571,1.2117953175756078,1.517846184843894,0.10022313546423137,1.0,0.0,0.0,secure
0.06999999999999999,0.05,0.005,10000,250,9855,0.08693598426254233,0.08697351598173518,0.002846818105124028,0.0810755961440893,0.086960933536276,0.09249619482496195,0.11463366026422389,0.019330779367131568,0.0775648275822448,0.11457217889873597,0.15514377059276133,1.0421241842202171,0.17573435788301425,0.7051347962022254,1.0415652627157816,1.4103979144796484,0.10223013698630137,1.0,0.0,0.0,secure
0.0725,0.05,0.005,10000,250,9855,0.08943598426254233,0.08922212075088788,0.00304721410567593,0.08340943683409437,0.08929477422628107,0.09472856418061898,0.09948774636278464,0.020439458567172827,0.06294106111234989,0.0988364758097601,0.13889928400678056,0.9044340578434968,0.18581325970157114,0.5721914646577262,0.8985134164523645,1.2627207636980051,0.10391659056316589,1.0,0.0,0.0,secure
0.075,0.05,0.005,10000,250,9855,0.09193598426254233,0.09155758498224252,0.002699551564950897,0.08639776763064434,0.09142567224759006,0.09670218163368849,0.08389007143083592,0.01786143426360945,0.050151979479072156,0.08463800949511649,0.11839886894028595,0.7626370130075993,0.16237667512372225,0.45592708617338323,0.7694364499556045,1.0763533540025996,0.10566818873668188,1.0,0.0,0.0,secure
0.0775,0.05,0.005,10000,250,9855,0.09443598426254234,0.09422181633688484,0.003137191581276967,0.08796549974632166,0.09421613394216134,0.09990360223236935,0.06641171245739716,0.02051532556527085,0.029679649444287602,0.06628284512643465,0.10777551429729651,0.6037428405217925,0.18650295968428043,0.2698149949480691,0.6025713193312241,0.9797774027026955,0.10766636225266361,1.0,0.0,0.0,secure
0.08,0.05,0.005,10000,250,9855,0.09693598426254234,0.09664129883307965,0.0031920344856394118,0.08987062404870624,0.09690512430238457,0.10269913749365805,0.050712723061462406,0.02063043653188134,0.01207242323271398,0.04884425486522839,0.09498405079584234,0.4610247551042038,0.18754942301710312,0.10974930211558163,0.4440386805929854,0.8634913708712939,0.10948097412480974,1.0,0.0,0.0,secure
0.08249999999999999,0.05,0.005,10000,250,9855,0.09943598426254233,0.09960872653475394,0.0030517328696694577,0.09418822932521563,0.09954337899543379,0.1058447488584475,0.03170046017039188,0.01937746206691194,-0.007447766419679461,0.03196649329245918,0.06646506902087634,0.2881860015490171,0.1761587460628358,-0.06770696745163146,0.2906044844769016,0.6042279001897849,0.11170654490106545,0.936,0.024,0.04,secure
0.08499999999999999,0.05,0.005,10000,250,9855,0.10193598426254233,0.10204728564180619,0.0031880209719446404,0.09585743277524099,0.10218163368848301,0.10702942668696093,0.016315394346829576,0.020054450091338508,-0.014721094057769429,0.015312976507416948,0.05561029838208204,0.14832176678935974,0.1823131826485319,-0.13382812779790387,0.13920887734015405,0.5055481671098367,0.11353546423135465,0.704,0.112,0.184,secure
0.0875,0.05,0.005,10000,250,9855,0.10443598426254233,0.1044265854895992,0.0032584297253723054,0.09776255707762557,0.10431253170979199,0.11101978691019787,0.0014776550991853989,0.020213612748547386,-0.03890875734328523,0.002021829213968011,0.04333419418091583,0.013433228174412712,0.18376011589588534,-0.35371597584804754,0.01838026558152737,0.39394721982650754,0.1153199391171994,0.476,0.084,0.44,secure
0.09,0.05,0.005,10000,250,9855,0.10693598426254233,0.1071837645865043,0.0030361292564661654,0.10158548959918823,0.1071537290715373,0.11293759512937596,-0.015527122764627078,0.01856432082909913,-0.050367649839722056,-0.01548176904022622,0.019057288440058908,-0.1411556614966098,0.16876655299181023,-0.45788772581565507,-0.14074335491114745,0.17324807672780826,0.11738782343987825,0.184,0.068,0.748,insecure
0.0925,0.05,0.005,10000,250,9855,0.10943598426254234,0.1096422120750888,0.0032240807532304527,0.10387366818873668,0.1095890410958904,0.11616184677828513,-0.030459278014466507,0.01947360419207706,-0.06939383159426935,-0.030290847666873705,0.004747839307895566,-0.27690252740424093,0.17703276538251872,-0.6308530144933576,-0.2753713424261246,0.04316217552632333,0.11923165905631661,0.044,0.024,0.932,insecure
0.095,0.05,0.005,10000,250,9855,0.11193598426254234,0.11166595636732624,0.0032702301251909364,0.1054287163876205,0.11156773211567732,0.11776255707762558,-0.042626942878845026,0.01956310124263813,-0.07873052057870886,-0.04219389112215596,-0.004883988240354383,-0.3875176625349546,0.17784637493307393,-0.7157320052609897,-0.38358082838323604,-0.044399893094130755,0.12074946727549468,0.008,0.004,0.988,insecure
